.github\issue_template.md | KEEP | project issue template
vaultbot_stuff\Knowledge\Research\Open-ended-evolution-in-artificial-life-what-makes-evolution-open-ended-vs-bound.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\open-second-brain-Hermes-Agent-dream-pass-mechanism-how-does-the-dream-pass-work.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Other-post.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Park-et-al-2023-Generative-Agents-reflection-algorithm-agents-query-their-memory.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\persistent-goal-tracking-in-LLM-agent-systems-how-do-AI-agents-maintain-and-upda.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Pesky-Fallbacks-Hiding-Deeper-Issues.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Phylogenetic-Trees-and-Dichotomous-Keys.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Plato.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Procedural-hallucination-mitigation-techniques-for-small-language-models-30B-how.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\procedural-prompting-LLM-step-by-step-forced-execution-plan-and-solve-chain-of-t.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Procedural-Toolkit.md | DELETE | off-topic, duplicate, or raw noise note
